,irma_range,harvey_range,irene_range,maria_range,mentions_range,total_amount
193,low,low,low,low,low,14832.0
194,low,low,low,low,low,34952.0
195,low,low,low,low,low,-9062.0
196,low,low,low,low,low,100245.34
197,low,low,low,low,low,34569.6
198,low,low,low,low,low,-220105.63
199,low,low,low,low,low,5837.56
200,low,low,low,low,low,-73734.75
201,low,low,low,low,low,1980.8
202,low,low,low,low,low,27143.1
203,low,low,low,low,low,12605.4
204,low,low,low,low,low,32100.75
205,low,low,low,low,low,732264.47
206,low,low,low,low,low,30029.0
207,low,low,low,low,low,6189779.739999998
208,low,low,low,low,low,2596.0
209,low,low,low,low,low,19049.66
210,low,low,low,low,low,-80503.03
211,low,low,low,low,low,-49284.0
212,low,low,low,low,low,-43226.3
213,low,low,low,low,low,-253929.86
214,low,low,low,low,low,7694.31
215,low,low,low,low,low,-42284.37
216,low,low,low,low,low,-18249.52
217,low,low,low,low,low,-54833.5
218,low,low,low,low,low,37279.0
219,low,low,low,low,low,151985.0
220,low,low,low,low,low,655.4
221,low,low,low,low,low,110661.0
222,low,low,low,low,low,32525.0
223,low,low,low,low,low,0.0
224,low,low,low,low,low,5033.88
225,low,low,low,low,low,4500.0
226,low,low,low,low,low,500000.0
227,low,low,low,low,low,7171491.19
228,low,low,low,low,low,2102056.81
229,low,low,low,low,low,21522.38
230,low,low,low,low,low,-22131.92
231,low,low,low,low,low,4050588.5
232,low,low,low,low,low,12777.35
233,low,low,low,low,low,12505.0
234,low,low,low,low,low,42385.0
235,low,low,low,low,low,3360.0
236,low,low,low,low,low,65409.0
237,low,low,low,low,low,50187.28
238,low,low,low,low,low,-3680.8
239,low,low,low,low,low,27039.99
240,low,low,low,low,low,87552.40000000001
241,low,low,low,low,low,508545.06
242,low,low,low,low,low,175691.0
243,low,low,low,low,low,-4050.0
244,low,low,low,low,low,61246.34
245,low,low,low,low,low,357533.96
246,low,low,low,low,low,3157.5
247,low,low,low,low,low,31334.0
248,low,low,low,low,low,13318.5
249,low,low,low,low,low,-80454.42000000001
250,low,low,low,low,low,-2070251.84
251,low,low,low,low,low,-51236.0
252,low,low,low,low,low,70602.31
253,low,low,low,low,low,-90622.69999999998
254,low,low,low,low,low,148980.0
255,low,low,low,low,low,2910710.0
256,low,low,low,low,low,61475.38999999999
257,low,low,low,low,low,-477565.05
258,low,low,low,low,low,-24833.46
259,low,low,low,low,low,-433904.17
260,low,low,low,low,low,-357370.24
261,low,low,low,low,low,-64271.92
262,low,low,low,low,low,-53114.76
263,low,low,low,low,low,39232.0
264,low,low,low,low,low,11363.29
265,low,low,low,low,low,1945067.68
266,low,low,low,low,low,7425.0
267,low,low,low,low,low,3000.0
268,low,low,low,low,low,3153.0
269,low,low,low,low,low,-635989.58
270,low,low,low,low,low,-30032.61
271,low,low,low,low,low,-525.0
272,low,low,low,low,low,0.0
273,low,low,low,low,low,-4826.49
274,low,low,low,low,low,44287.21
275,low,low,low,low,low,15900.0
276,low,low,low,low,low,154115.59
277,low,low,low,low,low,3496.01
278,low,low,low,low,low,-158.99
279,low,low,low,low,low,-513780.19
280,low,low,low,low,low,206165.92
281,low,low,low,low,low,101948.0
282,low,low,low,low,low,101208.0
283,low,low,low,low,low,3371.78
284,low,low,low,low,low,-61349.46
285,low,low,low,low,low,427985.32000000007
286,low,low,low,low,low,-3629.55
287,low,low,low,low,low,4580.5
288,low,low,low,low,low,11354578.48
289,low,low,low,low,low,-234978.51
290,low,low,low,low,low,1609.68
291,low,low,low,low,low,-3913.2
292,low,low,low,low,low,246597.0
293,low,low,low,low,low,-33832.16
294,low,low,low,low,low,-29538.290000000005
295,low,low,low,low,low,941051.24
296,low,low,low,low,low,-30743.6
297,low,low,low,low,low,101563.23
298,low,low,low,low,low,73.68999999999869
299,low,low,low,low,low,13057.57
300,low,low,low,low,low,22115.4
301,low,low,low,low,low,-999000.0
302,low,low,low,low,low,109677.34
303,low,low,low,low,low,1225.59
304,low,low,low,low,low,1275456.0
305,low,low,low,low,low,-405024.82
306,low,low,low,low,low,-107841.58000000002
307,low,low,low,low,low,2250.0
308,low,low,low,low,low,44324.38000000001
309,low,low,low,low,low,65000.0
310,low,low,low,low,low,-16841.84
311,low,low,low,low,low,-12790.68
312,low,low,low,low,low,-11667.52
313,low,low,low,low,low,14411.95
314,low,low,low,low,low,-58245.54999999999
315,low,low,low,low,low,-33768.78
316,low,low,low,low,low,383808.46
317,low,low,low,low,low,19618.3
318,low,low,low,low,low,37065.84
319,low,low,low,low,low,9751.52
320,low,low,low,low,low,11002.24
321,low,low,low,low,low,270035.98
322,low,low,low,low,low,3442500.0
323,low,low,low,low,low,17249.760000000002
324,low,low,low,low,low,-845.0399999999997
325,low,low,low,low,low,4617080.0
326,low,low,low,low,low,1874.0
327,low,low,low,low,low,321464.07
328,low,low,low,low,low,-363683.12
329,low,low,low,low,low,-5000.0
330,low,low,low,low,low,33442.65
331,low,low,low,low,low,-56504.71
332,low,low,low,low,low,49547.9
333,low,low,low,low,low,850.0
334,low,low,low,low,low,-4315.0
335,low,low,low,low,low,1017148.92
336,low,low,low,low,low,13423.11
337,low,low,low,low,low,-550220.0
338,low,low,low,low,low,5280.0
339,low,low,low,low,low,4601012.48
340,low,low,low,low,low,13085.02
341,low,low,low,low,low,104496.92
342,low,low,low,low,low,3316041.5
343,low,low,low,low,low,460829.94
344,low,low,low,low,low,2129270.56
345,low,low,low,low,low,-11661.259999999998
346,low,low,low,low,low,29387.3
347,low,low,low,low,low,18570.16
348,low,low,low,low,low,389000.0
349,low,low,low,low,low,1499.7
350,low,low,low,low,low,308930.41
351,low,low,low,low,low,33480.0
352,low,low,low,low,low,88200.0
353,low,low,low,low,low,3782298.01
354,low,low,low,low,low,70000.0
355,low,low,low,low,low,12000.0
356,low,low,low,low,low,1000.0
357,low,low,low,low,low,89075.44
358,low,low,low,low,low,20320.0
359,low,low,low,low,low,37400.0
360,low,low,low,low,low,147147.6
361,low,low,low,low,low,16748.16
362,low,low,low,low,low,16209.06
363,low,low,low,low,low,26400.0
364,low,low,medium,low,low,0.0
365,low,low,low,low,low,0.0
366,low,low,low,low,low,0.0
367,low,low,low,low,low,0.0
368,low,low,low,low,low,0.0
369,low,low,low,low,low,0.0
370,low,low,low,low,low,0.0
