,irma_range,harvey_range,irene_range,maria_range,mentions_range,total_amount
781,low,low,low,low,low,0.0
782,low,low,low,low,low,0.0
783,low,low,low,low,low,0.0
784,low,low,low,low,low,0.0
785,low,low,low,low,low,0.0
786,low,low,low,low,low,0.0
787,low,low,low,low,low,0.0
788,low,low,low,low,low,0.0
789,low,low,low,low,low,0.0
790,low,low,low,low,low,0.0
791,low,low,low,low,low,0.0
792,low,low,low,low,low,0.0
793,low,low,low,low,low,0.0
794,low,low,low,low,low,0.0
795,low,low,low,low,low,0.0
796,low,low,low,low,low,0.0
797,low,low,low,low,low,0.0
798,low,low,low,low,low,0.0
799,low,low,low,low,low,0.0
800,low,low,low,low,low,0.0
801,low,low,low,low,low,0.0
802,low,low,low,low,low,0.0
803,low,low,low,low,low,0.0
804,low,low,low,low,low,0.0
