date,number of titles for irma,number of titles for harvey,number of titles for maria,number of titles for irene,number of summaries for irma,number of summaries for harvey,number of summaries for maria,number of summaries for irene
2018-09-23,0,0,4,0,0,0,8,0
2011-07-31,0,0,0,0,1,0,0,0
2011-06-08,0,0,0,0,0,0,0,0
2018-09-28,0,0,0,0,8,0,8,0
2011-11-18,0,0,0,0,0,0,0,2
2011-07-19,0,0,0,0,0,0,0,0
2018-10-15,0,0,0,0,4,8,0,0
2018-08-03,0,0,0,0,1,3,3,0
2018-06-07,0,0,0,0,0,6,4,0
2011-07-07,0,0,0,0,0,0,0,0
2018-06-17,0,0,0,0,0,11,16,0
2011-06-01,0,0,0,0,0,0,0,0
2011-09-11,0,0,0,0,0,0,0,0
2011-06-24,0,0,0,0,0,0,0,0
2018-07-18,0,0,3,0,0,6,3,0
2018-06-06,0,0,0,0,0,0,4,0
2018-10-21,0,0,0,0,0,0,0,0
2011-07-23,0,0,0,0,0,0,0,0
2018-10-25,0,0,0,0,0,0,10,0
2018-06-10,0,0,0,0,0,0,4,0
2018-07-13,0,3,0,0,7,10,0,0
2018-09-29,0,4,0,0,2,4,4,0
2018-08-26,0,0,0,0,0,3,3,0
2018-10-03,0,0,0,0,0,4,0,0
